idade,genero,uf,regiao,nivel_ens,area_form,situac_de_trab,setor_atuacao,n_func,cargo,nivel,faixa_sal,experiencia,form_trab,sql,r,python,c,dotnet,java,julia,sas_stata,vba,scala,matlab,php,javascript,nao_utiliza_ling,tot_ling
30.0,Masculino,MG,Sudeste,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Consultoria,Acima de 3000,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30.0,Feminino,SP,Sudeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Tecnologia/Fábrica de Software,de 1001 a 3000,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% presencial,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25.0,Masculino,PR,Sul,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Varejo,Acima de 3000,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.0,Masculino,MG,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Automotivo,de 501 a 1000,Analista de Negócios/Business Analyst,Sênior,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,Modelo 100% presencial,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42.0,Masculino,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outro,de 501 a 1000,Analista de BI/BI Analyst/Analytics Engineer,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% remoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
49.0,Masculino,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,Acima de 3000,Engenheiro de Dados/Data Engineer,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20.0,Masculino,SC,Sul,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Consultoria,Acima de 3000,Analista de Negócios/Business Analyst,Júnior,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,Modelo 100% remoto,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24.0,Masculino,CE,Nordeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Indústria,Acima de 3000,Analista de Negócios/Business Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% presencial,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24.0,Masculino,MG,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Tecnologia/Fábrica de Software,de 1001 a 3000,Analista de BI/BI Analyst/Analytics Engineer,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% remoto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43.0,Masculino,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outro,de 101 a 500,Desenvolvedor ou Engenheiro de Software,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Não tenho experiência na área de dados,Modelo 100% remoto,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
